billing_id,matter_id,attorney_id,billing_date,hours_worked,hourly_rate,amount,billable_status
1,1,5,2024-06-27,26.5,333.24426408004217,8830.97,Billable
2,1,6,2024-06-27,48.1,311.18528947223797,14968.01,Non-Billable
3,1,4,2024-06-27,37.9,263.9493860652042,10003.68,Billable
4,1,8,2024-06-27,76.4,246.99098521619942,18870.11,Billable
5,1,6,2024-07-27,78.0,311.18528947223797,24272.45,Billable
6,1,4,2024-07-27,27.0,263.9493860652042,7126.63,Billable
7,1,8,2024-07-27,24.4,246.99098521619942,6026.58,Non-Billable
8,1,6,2024-08-27,33.0,311.18528947223797,10269.11,Billable
9,1,4,2024-08-27,51.7,263.9493860652042,13646.18,Billable
10,1,8,2024-08-27,20.1,246.99098521619942,4964.52,Billable
11,1,5,2024-09-27,65.9,333.24426408004217,21960.8,Billable
12,1,1,2024-09-27,11.8,209.86584841970367,2476.42,Billable
13,1,6,2024-09-27,65.2,311.18528947223797,20289.28,Non-Billable
14,1,4,2024-09-27,22.2,263.9493860652042,5859.68,Billable
15,1,5,2024-10-27,18.0,333.24426408004217,5998.4,Billable
16,1,1,2024-10-27,64.5,209.86584841970367,13536.35,Non-Billable
17,1,6,2024-10-27,41.6,311.18528947223797,12945.31,Billable
18,1,4,2024-10-27,13.0,263.9493860652042,3431.34,Non-Billable
19,1,8,2024-10-27,42.1,246.99098521619942,10398.32,Billable
20,1,1,2024-11-27,38.1,209.86584841970367,7995.89,Non-Billable
21,1,4,2024-11-27,41.0,263.9493860652042,10821.92,Billable
22,1,8,2024-11-27,20.4,246.99098521619942,5038.62,Billable
23,1,1,2024-12-27,48.4,209.86584841970367,10157.51,Billable
24,1,6,2024-12-27,51.8,311.18528947223797,16119.4,Billable
25,1,4,2024-12-27,52.4,263.9493860652042,13830.95,Billable
26,1,8,2024-12-27,18.0,246.99098521619942,4445.84,Non-Billable
27,2,7,2024-04-26,67.9,209.86584841970367,14249.89,Billable
28,2,8,2024-04-26,16.7,246.99098521619942,4124.75,Billable
29,2,4,2024-04-26,27.8,263.9493860652042,7337.79,Billable
30,2,7,2024-05-26,43.2,209.86584841970367,9066.2,Billable
31,2,8,2024-05-26,16.5,246.99098521619942,4075.35,Billable
32,2,4,2024-05-26,36.1,263.9493860652042,9528.57,Billable
33,2,7,2024-06-26,51.1,209.86584841970367,10724.14,Non-Billable
34,2,8,2024-06-26,56.9,246.99098521619942,14053.79,Billable
35,2,4,2024-06-26,56.6,263.9493860652042,14939.54,Billable
36,2,7,2024-07-26,60.5,209.86584841970367,12696.88,Billable
37,2,8,2024-07-26,34.6,246.99098521619942,8545.89,Non-Billable
38,2,4,2024-07-26,20.8,263.9493860652042,5490.15,Billable
39,2,4,2024-08-26,35.7,263.9493860652042,9422.99,Billable
40,2,7,2024-09-26,66.5,209.86584841970367,13956.08,Non-Billable
41,2,8,2024-09-26,67.3,246.99098521619942,16622.49,Non-Billable
42,2,4,2024-09-26,49.0,263.9493860652042,12933.52,Non-Billable
43,2,7,2024-10-26,68.1,209.86584841970367,14291.86,Billable
44,2,7,2024-11-26,74.5,209.86584841970367,15635.01,Billable
45,2,4,2024-11-26,49.6,263.9493860652042,13091.89,Billable
46,2,8,2024-12-26,78.0,246.99098521619942,19265.3,Billable
47,2,4,2024-12-26,25.1,263.9493860652042,6625.13,Billable
48,3,6,2023-02-04,49.7,311.18528947223797,15465.91,Billable
49,3,3,2023-02-04,20.9,356.50515929852793,7450.96,Non-Billable
50,3,10,2023-02-04,39.7,246.99098521619942,9805.54,Non-Billable
51,3,6,2023-03-04,29.1,311.18528947223797,9055.49,Non-Billable
52,3,12,2023-03-04,29.8,155.80836121681995,4643.09,Non-Billable
53,3,5,2023-03-04,46.9,333.24426408004217,15629.16,Billable
54,3,6,2023-04-04,52.0,311.18528947223797,16181.64,Billable
55,3,12,2023-04-04,63.7,155.80836121681995,9924.99,Billable
56,3,6,2023-05-04,40.1,311.18528947223797,12478.53,Billable
57,3,3,2023-05-04,59.3,356.50515929852793,21140.76,Non-Billable
58,3,12,2023-05-04,56.8,155.80836121681995,8849.91,Billable
59,3,10,2023-05-04,13.0,246.99098521619942,3210.88,Billable
60,3,6,2023-06-04,15.5,311.18528947223797,4823.37,Billable
61,3,3,2023-06-04,50.1,356.50515929852793,17860.91,Non-Billable
62,3,12,2023-06-04,30.3,155.80836121681995,4720.99,Billable
63,3,10,2023-06-04,66.1,246.99098521619942,16326.1,Non-Billable
64,3,6,2023-07-04,58.3,311.18528947223797,18142.1,Billable
65,3,12,2023-07-04,27.0,155.80836121681995,4206.83,Non-Billable
66,3,5,2023-07-04,15.5,333.24426408004217,5165.29,Billable
67,3,10,2023-07-04,25.5,246.99098521619942,6298.27,Billable
68,3,3,2023-08-04,47.1,356.50515929852793,16791.39,Billable
69,3,12,2023-08-04,34.5,155.80836121681995,5375.39,Non-Billable
70,3,5,2023-08-04,55.2,333.24426408004217,18395.08,Billable
71,3,12,2023-09-04,63.2,155.80836121681995,9847.09,Non-Billable
72,3,10,2023-09-04,54.0,246.99098521619942,13337.51,Billable
73,3,6,2023-10-04,63.2,311.18528947223797,19666.91,Billable
74,3,3,2023-10-04,71.7,356.50515929852793,25561.42,Non-Billable
75,3,12,2023-10-04,53.7,155.80836121681995,8366.91,Non-Billable
76,3,5,2023-10-04,40.8,333.24426408004217,13596.37,Billable
77,3,10,2023-10-04,31.2,246.99098521619942,7706.12,Billable
78,3,6,2023-11-04,34.6,311.18528947223797,10767.01,Billable
79,3,3,2023-11-04,41.6,356.50515929852793,14830.61,Billable
80,3,12,2023-11-04,30.1,155.80836121681995,4689.83,Non-Billable
81,3,5,2023-11-04,69.9,333.24426408004217,23293.77,Non-Billable
82,3,10,2023-11-04,36.9,246.99098521619942,9113.97,Non-Billable
83,3,6,2023-12-04,65.4,311.18528947223797,20351.52,Billable
84,3,3,2023-12-04,66.7,356.50515929852793,23778.89,Non-Billable
85,3,5,2023-12-04,45.1,333.24426408004217,15029.32,Billable
86,3,10,2023-12-04,66.8,246.99098521619942,16499.0,Billable
