expense_id,matter_id,expense_date,expense_type,amount,vendor
1,1,2024-07-29,Mediation Services,14653.79,Martinez Group
2,1,2024-10-03,Expert Witness,28015.28,"Brown, West and Cox"
3,1,2024-10-16,Filing Fees,3232.1,Gordon-Dougherty
4,1,2024-07-05,Court Fees,3940.21,"Boyd, Ellis and Maynard"
5,1,2024-07-08,Research/Legal Database,12531.59,Boone-Simmons
6,1,2024-07-17,Travel,4430.2,"Browning, Jones and Miller"
7,2,2024-09-24,Expert Witness,27112.65,Martinez PLC
8,2,2024-09-30,Research/Legal Database,6248.17,"Joseph, James and Harper"
9,2,2024-07-08,Deposition,6803.26,"Jacobs, Garcia and Miles"
10,2,2024-11-24,Mediation Services,3722.79,"Rich, Arnold and Glenn"
11,2,2024-08-11,Mediation Services,10327.68,Gutierrez Group
12,2,2024-08-03,Research/Legal Database,10738.26,"Davis, Simmons and Ortega"
13,2,2024-07-28,Investigation,10160.2,Mcdaniel Group
14,2,2024-05-12,Filing Fees,4653.69,Davis Inc
15,3,2024-07-06,Mediation Services,12963.17,Cain-Hawkins
16,3,2024-03-18,Filing Fees,2653.14,"Hoffman, Santiago and Jenkins"
17,3,2024-10-04,Deposition,4983.55,Parrish-Griffith
18,3,2024-12-09,Document Review,2399.85,"Edwards, Garcia and Romero"
19,3,2023-05-22,Travel,9817.1,Walker-Rodriguez
20,3,2024-09-14,Travel,9839.37,Wilson-Ramirez
21,3,2023-07-11,Research/Legal Database,2553.7,Bruce-Villegas
22,3,2024-08-26,Research/Legal Database,13834.82,"Leonard, Hawkins and Lynch"
23,3,2024-05-06,Mediation Services,744.87,"Adams, White and Park"
24,3,2023-09-07,Court Fees,3894.72,Bell-White
25,3,2023-05-14,Document Review,4179.47,"Morales, Thomas and Schultz"
26,3,2023-02-25,Research/Legal Database,5518.54,"Moreno, Bennett and Chavez"
27,3,2023-05-24,Transcript Services,2737.1,Griffith-Frank
28,4,2023-12-04,Research/Legal Database,3090.25,Ware and Sons
29,4,2022-11-26,Deposition,4645.25,"Williams, Miller and Ramos"
30,4,2023-07-27,Filing Fees,1323.68,"Ramos, Nelson and Fischer"
31,4,2022-10-18,Transcript Services,14897.09,Rodriguez-Gregory
32,4,2023-12-27,Deposition,2899.57,"Estrada, Williams and Foster"
33,4,2024-01-02,Expert Witness,45509.82,Harris and Sons
34,4,2024-06-02,Travel,8498.05,Roberts-Wilson
35,4,2023-10-01,Investigation,13035.15,Thompson-James
36,4,2024-04-05,Travel,1600.02,"Hansen, Barnett and Gomez"
37,4,2023-07-02,Court Fees,2892.08,"Williams, Smith and Morse"
38,4,2024-08-27,Document Review,6253.89,"Patterson, Sullivan and Bowman"
39,4,2023-03-26,Investigation,4498.81,Smith-Nguyen
40,4,2024-07-03,Travel,1056.82,"Stevens, Norris and Cox"
41,4,2023-08-07,Deposition,3062.04,Sanchez PLC
42,4,2023-07-05,Mediation Services,14271.78,Foster LLC
43,4,2024-05-14,Court Fees,3439.41,Cook and Sons
44,4,2022-09-14,Deposition,2336.47,"Wilson, Hicks and Bullock"
45,4,2023-05-20,Court Fees,1488.88,"Mullen, Brewer and Hernandez"
46,4,2022-10-08,Filing Fees,1285.32,Gonzalez-Morrison
47,4,2024-05-27,Expert Witness,27892.31,"Jones, Bean and Burton"
48,4,2023-09-01,Document Review,10127.57,"Wolf, Cole and Glass"
49,4,2023-12-01,Travel,6138.2,"Downs, Morris and Maddox"
50,4,2023-04-20,Investigation,10024.34,Jones-Ramos
51,4,2023-04-07,Filing Fees,784.66,Vargas-Bell
52,4,2022-09-12,Document Review,11965.94,Hayes-Brown
53,5,2024-11-18,Deposition,3865.78,Newman Inc
54,5,2024-09-24,Transcript Services,1554.46,"Cruz, Carpenter and Best"
55,5,2024-10-25,Research/Legal Database,14083.36,Cole PLC
56,5,2024-10-03,Court Fees,2157.29,Jacobs-Mason
57,5,2024-12-20,Filing Fees,4898.09,Garcia-Nolan
58,5,2024-07-17,Document Review,1544.3,"Miller, Lucas and Williams"
59,6,2024-12-02,Deposition,3969.53,Warren-Bishop
60,6,2024-10-30,Document Review,745.15,Hughes-Schroeder
61,6,2024-11-30,Court Fees,3093.04,Mccormick Ltd
62,6,2024-10-28,Filing Fees,3165.91,Davis-Gregory
63,6,2024-10-23,Travel,6318.41,"York, Brandt and Morrison"
64,6,2024-10-10,Investigation,8433.27,Aguilar and Sons
65,6,2024-12-23,Deposition,8243.68,Ponce-Hale
66,6,2024-11-02,Expert Witness,26472.22,"Fletcher, Miller and Hansen"
67,6,2024-11-26,Expert Witness,41504.16,Li-Santiago
68,6,2024-12-14,Expert Witness,16412.94,"Osborn, Gaines and Davis"
69,6,2024-11-29,Filing Fees,4893.77,"Cox, Cox and White"
70,6,2024-10-16,Expert Witness,8200.43,Lee-Cooke
71,6,2024-10-10,Investigation,1893.36,Richard-Garcia
72,6,2024-12-09,Court Fees,1173.52,"Stephenson, Johnson and Rogers"
73,6,2024-12-08,Court Fees,4733.6,Harper and Sons
74,6,2024-10-11,Transcript Services,4032.94,"Wise, Lamb and Martin"
75,6,2024-11-07,Filing Fees,4576.72,Diaz-Ball
76,6,2024-12-28,Transcript Services,6351.24,"Mitchell, Goodman and Cole"
77,6,2024-11-16,Mediation Services,8714.68,Sheppard-Mueller
78,6,2024-12-21,Investigation,6386.76,Richardson PLC
79,6,2024-12-29,Transcript Services,14345.92,Hammond-Strickland
80,6,2024-11-13,Investigation,3626.48,Burch-Montoya
81,6,2024-12-11,Research/Legal Database,6682.26,Salas Inc
82,7,2022-10-10,Travel,1719.13,Spencer-Garcia
83,7,2022-11-19,Transcript Services,14783.8,Mitchell and Sons
84,7,2022-07-29,Research/Legal Database,2411.85,"Hernandez, Kim and Potts"
85,7,2022-07-19,Filing Fees,3537.28,Wilkerson-Arias
86,7,2022-08-26,Expert Witness,25717.2,Shaw-Young
87,7,2022-12-18,Deposition,7259.08,Walker-Flores
88,7,2022-06-25,Mediation Services,8254.09,"Santos, Moody and Taylor"
89,7,2022-08-01,Investigation,9906.85,Horton-Taylor
